f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
22196,21892,99999,99999,99999,99999,99999,99999,99999,358,616,AW,AW,GT,Upcountry
22196,24271,99999,99999,99999,99999,99999,99999,99999,98,170,AW,AW,GT,Upcountry
22196,23768,99999,99999,99999,99999,99999,99999,99999,106,183,AW,AW,GT,Upcountry
22196,10698,99999,99999,99999,99999,99999,99999,99999,294,506,AW,AW,GT,Upcountry
22196,21422,99999,99999,99999,99999,99999,99999,99999,273,470,AW,AW,GT,Upcountry
22196,14975,99999,99999,99999,99999,99999,99999,99999,345,593,AW,AW,GT,Upcountry
22196,16409,99999,99999,99999,99999,99999,99999,99999,258,443,AW,AW,GT,Upcountry
22196,11645,99999,99999,99999,99999,99999,99999,99999,347,596,AW,AW,GT,Upcountry
22196,22533,99999,99999,99999,99999,99999,99999,99999,183,315,AW,AW,GT,Upcountry
22196,14555,99999,99999,99999,99999,99999,99999,99999,236,406,AW,AW,GT,Upcountry
23717,24170,99999,99999,99999,99999,99999,99999,99999,4,9,AW,AW,GT,Upcountry
23717,25038,99999,99999,99999,99999,99999,99999,99999,41,71,AW,AW,GT,Upcountry
23717,23894,99999,900,900,900,900,900,900,13,24,AW,AW,GT,GT
23717,24698,99999,99999,99999,99999,99999,99999,99999,10,19,AW,AW,GT,Upcountry
23717,22693,99999,900,900,900,900,900,900,22,39,AW,AW,GT,GT
23717,24051,99999,99999,99999,99999,99999,99999,99999,24,43,AW,AW,GT,Upcountry
23717,22803,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
23717,15457,99999,99999,99999,99999,99999,99999,99999,13,24,AW,AW,GT,Upcountry
23717,23029,99999,900,900,900,900,900,900,13,24,AW,AW,GT,GT
23717,23688,99999,99999,99999,99999,99999,99999,99999,27,47,AW,AW,GT,Upcountry
23717,958,99999,900,900,900,900,900,900,16,28,AW,AW,GT,GT
23717,2651,99999,900,900,900,900,900,900,16,29,AW,AW,GT,GT
23717,24444,99999,99999,99999,99999,99999,99999,99999,23,41,AW,AW,GT,Upcountry
23717,23711,99999,900,900,900,900,900,900,19,34,AW,AW,GT,GT
23717,25058,99999,900,900,900,900,900,900,11,20,AW,AW,GT,GT
23717,25152,99999,99999,99999,99999,99999,99999,99999,20,35,AW,AW,GT,Upcountry
23717,15822,99999,99999,99999,99999,99999,99999,99999,78,135,AW,AW,GT,Upcountry
23717,939,99999,99999,99999,99999,99999,99999,99999,154,265,AW,AW,GT,Upcountry
23717,19288,99999,99999,99999,99999,99999,99999,99999,122,210,AW,AW,GT,Upcountry
23717,15459,99999,99999,99999,99999,99999,99999,99999,294,505,AW,AW,GT,Upcountry
23717,19507,99999,99999,99999,99999,99999,99999,99999,341,587,AW,AW,GT,Upcountry
23717,6882,99999,99999,99999,99999,99999,99999,99999,13,23,AW,MT,GT,MT
23717,940,99999,99999,99999,99999,99999,99999,99999,160,275,AW,AW,GT,Upcountry
23717,6409,99999,99999,99999,99999,99999,99999,99999,206,355,AW,AW,GT,Upcountry
23717,22883,99999,99999,99999,99999,99999,99999,99999,76,131,AW,AW,GT,Upcountry
23717,21342,99999,99999,99999,99999,99999,99999,99999,36,63,AW,AW,GT,Upcountry
23717,944,99999,99999,99999,99999,99999,99999,99999,351,604,AW,AW,GT,Upcountry
23717,23592,99999,99999,99999,99999,99999,99999,99999,286,492,AW,AW,GT,Upcountry
23717,16094,99999,99999,99999,99999,99999,99999,99999,73,126,AW,AW,GT,Upcountry
23717,23326,99999,99999,99999,99999,99999,99999,99999,73,126,AW,AD,GT,Upcountry
23717,12238,99999,99999,99999,99999,99999,99999,99999,58,101,AW,AW,GT,Upcountry
23717,11149,99999,99999,99999,99999,99999,99999,99999,153,264,AW,AW,GT,Upcountry
23717,941,99999,99999,99999,99999,99999,99999,99999,76,132,AW,AW,GT,Upcountry
23717,22043,99999,99999,99999,99999,99999,99999,99999,291,500,AW,AW,GT,Upcountry
23717,23761,99999,99999,99999,99999,99999,99999,99999,47,81,AW,MT,GT,MT
23717,19972,99999,99999,99999,99999,99999,99999,99999,52,90,AW,AW,GT,Upcountry
23717,23452,99999,99999,99999,99999,99999,99999,99999,30,53,AW,AW,GT,Upcountry
23717,23916,99999,99999,99999,99999,99999,99999,99999,354,608,AW,AW,GT,Upcountry
23717,21769,99999,99999,99999,99999,99999,99999,99999,375,643,AW,AW,GT,Upcountry
23717,21986,99999,99999,99999,99999,99999,99999,99999,380,653,AW,AW,GT,Upcountry
23717,17049,99999,99999,99999,99999,99999,99999,99999,360,618,AW,AW,GT,Upcountry
23717,24151,99999,99999,99999,99999,99999,99999,99999,390,669,AW,AW,GT,Upcountry
