f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
23717,23894,99999,900,900,900,900,900,900,13,24,AW,AW,GT,GT
23717,24698,99999,900,900,900,900,900,900,10,19,AW,AW,GT,GT
23717,958,99999,900,900,900,900,900,900,16,28,AW,AW,GT,GT
23717,25152,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
23717,24444,99999,900,900,900,900,900,900,23,41,AW,AW,GT,GT
23717,16730,99999,99999,99999,99999,99999,99999,99999,27,47,AW,AD,GT,ACD
23717,23895,99999,900,900,900,900,900,900,9,18,AW,AW,GT,GT
23717,22803,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
23717,21316,99999,900,900,900,900,900,900,29,51,AW,AW,GT,GT
23717,24394,99999,99999,99999,99999,99999,99999,99999,168,289,AW,MT,GT,Upcountry
23717,22861,99999,99999,99999,99999,99999,99999,99999,30,52,AW,AW,GT,Upcountry
23717,23716,99999,99999,99999,99999,99999,99999,99999,339,583,AW,AW,GT,Upcountry
23717,25038,99999,99999,99999,99999,99999,99999,99999,41,71,AW,AW,GT,Upcountry
23717,23348,99999,99999,99999,99999,99999,99999,99999,14,26,AW,MT,GT,MT
23717,24172,99999,99999,99999,99999,99999,99999,99999,16,29,AW,MT,GT,MT
23717,19413,99999,99999,99999,99999,99999,99999,99999,108,187,AW,AW,GT,Upcountry
23717,940,99999,99999,99999,99999,99999,99999,99999,160,275,AW,AW,GT,Upcountry
23717,4425,99999,99999,99999,99999,99999,99999,99999,78,135,AW,AW,GT,Upcountry
23717,22820,99999,99999,99999,99999,99999,99999,99999,223,383,AW,AW,GT,Upcountry
23717,21367,99999,99999,99999,99999,99999,99999,99999,358,615,AW,MT,GT,Upcountry
23717,23640,99999,99999,99999,99999,99999,99999,99999,165,284,AW,AW,GT,Upcountry
23717,17606,99999,99999,99999,99999,99999,99999,99999,47,82,AW,AW,GT,Upcountry
23717,6410,99999,99999,99999,99999,99999,99999,99999,73,126,AW,AW,GT,Upcountry
23717,25167,99999,99999,99999,99999,99999,99999,99999,47,82,AW,AW,GT,Upcountry
23717,14363,99999,99999,99999,99999,99999,99999,99999,14,26,AW,AD,GT,ACD
23717,25181,99999,99999,99999,99999,99999,99999,99999,242,415,AW,AW,GT,Upcountry
23717,21987,99999,99999,99999,99999,99999,99999,99999,29,50,AW,MT,GT,MT
23717,18240,99999,99999,99999,99999,99999,99999,99999,32,57,AW,AW,GT,Upcountry
23717,23452,99999,99999,99999,99999,99999,99999,99999,30,53,AW,AW,GT,Upcountry
23717,23080,99999,99999,99999,99999,99999,99999,99999,30,52,AW,MT,GT,MT
24170,22693,99999,900,900,900,900,900,900,26,46,AW,AW,GT,GT
24170,23711,99999,900,900,900,900,900,900,16,29,AW,AW,GT,GT
24170,24051,99999,900,900,900,900,900,900,27,48,AW,AW,GT,GT
24170,2651,99999,900,900,900,900,900,900,18,33,AW,AW,GT,GT
24170,23894,99999,900,900,900,900,900,900,10,19,AW,AW,GT,GT
24170,24698,99999,900,900,900,900,900,900,5,10,AW,AW,GT,GT
24170,958,99999,900,900,900,900,900,900,14,25,AW,AW,GT,GT
24170,25152,99999,900,900,900,900,900,900,22,38,AW,AW,GT,GT
24170,24444,99999,900,900,900,900,900,900,20,36,AW,AW,GT,GT
24170,16730,99999,99999,99999,99999,99999,99999,99999,26,46,AW,AD,GT,ACD
24170,23895,99999,900,900,900,900,900,900,11,21,AW,AW,GT,GT
24170,22803,99999,900,900,900,900,900,900,22,38,AW,AW,GT,GT
24170,21316,99999,900,900,900,900,900,900,27,47,AW,AW,GT,GT
24170,24394,99999,99999,99999,99999,99999,99999,99999,167,288,AW,MT,GT,Upcountry
24170,22861,99999,99999,99999,99999,99999,99999,99999,30,52,AW,AW,GT,Upcountry
